r_circ mass j/j_circ snap omega_e omega_e1 omega_l alpha mu mean_morph mean_morphf mask_morph
rc45 M2.5e+06 L0.05 SNAP040 0.20672687888145447 0.04452203959226608 0.15830384194850922 0.04452203959226608 3.555628776550293 0.10141275823116302 0.20059292018413544 0.15037862956523895
rc45 M2.5e+06 L0.05 SNAP050 0.2584086060523987 0.04452203959226608 0.19787980616092682 0.04452203959226608 4.444535732269287 0.16950564086437225 0.21800655126571655 0.21600858867168427
rc45 M2.5e+06 L0.05 SNAP060 0.3100903332233429 0.04452203959226608 0.23745577037334442 0.04452203959226608 5.3334431648254395 0.26221519708633423 0.3512859642505646 0.2714306116104126
rc45 M2.5e+06 L0.05 SNAP070 0.3617720603942871 0.04452203959226608 0.27703171968460083 0.04452203959226608 6.222350120544434 0.20166654884815216 0.28054845333099365 0.2802006006240845
rc45 M2.5e+06 L0.05 SNAP080 0.41345375776290894 0.04452203959226608 0.31660768389701843 0.04452203959226608 7.111257553100586 0.2262989580631256 0.3193299472332001 0.27800750732421875
rc45 M2.5e+06 L0.10 SNAP030 0.19566258788108826 0.08942338824272156 0.12189356237649918 0.08942338824272156 1.36310613155365 0.036215707659721375 0.16493363678455353 0.10195867717266083
rc45 M2.5e+06 L0.10 SNAP040 0.2608834505081177 0.08942338824272156 0.1625247597694397 0.08942338824272156 1.8174748420715332 0.10492946952581406 0.21369338035583496 0.1885744333267212
rc45 M2.5e+06 L0.10 SNAP050 0.3261043131351471 0.08942338824272156 0.20315594971179962 0.08942338824272156 2.271843671798706 0.16946500539779663 0.23589929938316345 0.25502318143844604
rc45 M2.5e+06 L0.10 SNAP060 0.3913251757621765 0.08942338824272156 0.24378713965415955 0.08942338824272156 2.7262122631073 0.2596015930175781 0.3540887236595154 0.22946523129940033
rc45 M2.5e+06 L0.10 SNAP070 0.45654603838920593 0.08942338824272156 0.2844183146953583 0.08942338824272156 3.1805810928344727 0.1804666370153427 0.271427184343338 0.27609413862228394
rc45 M2.5e+06 L0.10 SNAP080 0.5217669010162354 0.08942338824272156 0.3250495195388794 0.08942338824272156 3.6349496841430664 0.21279586851596832 0.3313538134098053 0.28676632046699524
rc45 M2.5e+06 L0.20 SNAP030 0.2426397055387497 0.1816718578338623 0.11819686740636826 0.1816718578338623 0.6506063342094421 0.02143167145550251 0.19465968012809753 0.08032418042421341
rc45 M2.5e+06 L0.20 SNAP040 0.32351961731910706 0.1816718578338623 0.15759582817554474 0.1816718578338623 0.867475152015686 0.07989973574876785 0.21093088388442993 0.17511488497257233
